ID,name,description,validFrom,validTo
550e8400-e29b-41d4-a716-446655440000,Neu,vom Angestellten angelegt,2024-06-01T00:00:00,2099-12-31T23:59:59
550e8400-e29b-41d4-a716-446655440001,Bereit zur Bearbeitung,vom Angestellten freigegeben,2024-06-01T00:00:00,2099-12-31T23:59:59
550e8400-e29b-41d4-a716-446655440002,In Bearbeitung,Backoffice prüft,2024-06-01T00:00:00,2099-12-31T23:59:59
550e8400-e29b-41d4-a716-446655440003,Gebucht,Flug/Hotel gebucht,2024-06-01T00:00:00,2099-12-31T23:59:59
550e8400-e29b-41d4-a716-446655440004,Abgeschlossen,Dienstreise durchgeführt/archiviert,2024-06-01T00:00:00,2099-12-31T23:59:59
550e8400-e29b-41d4-a716-446655440005,Storniert,Reise abgesagt,2024-06-01T00:00:00,2099-12-31T23:59:59
